Track_id, Transition_type_no, Transition_type_name, Time_in_channel_(frame), Time_entered_channel_(frame), Time_left_channel_(frame), 
2906, -1, BR, 315.0, 55898.0, 56213.0, 
2906, -1, BR, 4.0, 55892.0, 55896.0, 
2906, -1, BR, 6.0, 55884.0, 55890.0, 
2918, -1, BR, 9.0, 56590.0, 56599.0, 
2918, -1, BR, 13.0, 56573.0, 56586.0, 
2923, 1, FR, 46.0, 56650.0, 56696.0, 
2946, -1, BR, 11.0, 57328.0, 57339.0, 
2948, -1, BR, 11.0, 57636.0, 57647.0, 
2948, -1, BR, 119.0, 57514.0, 57633.0, 
2948, -1, BR, 3.0, 57507.0, 57510.0, 
2948, -1, BR, 117.0, 57374.0, 57491.0, 
2955, 1, FR, 4.0, 57692.0, 57696.0, 
2957, 1, FR, 9.0, 57732.0, 57741.0, 
2959, 1, FR, 2.0, 57848.0, 57850.0, 
3003, -1, BR, 3.0, 59181.0, 59184.0, 
3003, -1, BR, 275.0, 58904.0, 59179.0, 
3014, 1, FR, 2.0, 59127.0, 59129.0, 
3048, -1, BR, 273.0, 59705.0, 59978.0, 
3048, -1, BR, 31.0, 59672.0, 59703.0, 
3059, 1, FR, 9.0, 60016.0, 60025.0, 
3059, 1, FR, 197.0, 59811.0, 60008.0, 
3071, -1, BR, 77.0, 60168.0, 60245.0, 
3072, 1, FR, 21.0, 60183.0, 60204.0, 
3187, -1, BR, 74.0, 60500.0, 60574.0, 
3214, 1, FR, 5.0, 60972.0, 60977.0, 
3229, -1, BR, 143.0, 61267.0, 61410.0, 
3236, -1, BR, 18.0, 61354.0, 61372.0, 
3236, -1, BR, 10.0, 61340.0, 61350.0, 
3242, -1, BR, 4.0, 61374.0, 61378.0, 
3244, -1, BR, 324.0, 61444.0, 61768.0, 
3244, -1, BR, 5.0, 61433.0, 61438.0, 
3244, -1, BR, 2.0, 61429.0, 61431.0, 
3244, -1, BR, 6.0, 61421.0, 61427.0, 
3258, 1, FR, 3.0, 61640.0, 61643.0, 
3277, -1, BR, 16.0, 62470.0, 62486.0, 
3277, -1, BR, 29.0, 62439.0, 62468.0, 
3277, -1, BR, 278.0, 62159.0, 62437.0, 
3277, -1, BR, 37.0, 62115.0, 62152.0, 
3315, 1, FR, 2.0, 63101.0, 63103.0, 
3323, 1, FR, 12.0, 63175.0, 63187.0, 
3329, -1, BR, 76.0, 63356.0, 63432.0, 
3329, -1, BR, 2.0, 63350.0, 63352.0, 
3329, -1, BR, 12.0, 63310.0, 63322.0, 
3329, -1, BR, 15.0, 63293.0, 63308.0, 
3405, -1, BR, 26.0, 64635.0, 64661.0, 
3406, -1, BR, 4.0, 64686.0, 64690.0, 
3406, -1, BR, 11.0, 64673.0, 64684.0, 
3442, 1, FR, 4.0, 65649.0, 65653.0, 
3561, -2, BT, 209.0, 67622.0, 67831.0, 
3573, -2, BT, 275.0, 67768.0, 68043.0, 
3655, -1, BR, 5.0, 69194.0, 69199.0, 
3655, -1, BR, 8.0, 69184.0, 69192.0, 
3655, -1, BR, 73.0, 69109.0, 69182.0, 
3668, 1, FR, 5.0, 69370.0, 69375.0, 
3668, 1, FR, 7.0, 69360.0, 69367.0, 
3702, -1, BR, 13.0, 69700.0, 69713.0, 
3796, -1, BR, 37.0, 71174.0, 71211.0, 
3842, 1, FR, 5.0, 72235.0, 72240.0, 
3894, 1, FR, 111.0, 73442.0, 73553.0, 
3917, 1, FR, 23.0, 73750.0, 73773.0, 
3925, -1, BR, 115.0, 74130.0, 74245.0, 
3925, -1, BR, 2.0, 74124.0, 74126.0, 
3925, -1, BR, 45.0, 74074.0, 74119.0, 
3925, -1, BR, 206.0, 73866.0, 74072.0, 
3925, -1, BR, 32.0, 73826.0, 73858.0, 
3930, -1, BR, 126.0, 73902.0, 74028.0, 
3935, -1, BR, 706.0, 74045.0, 74751.0, 
3997, -1, BR, 172.0, 75518.0, 75690.0, 
3997, -1, BR, 49.0, 75467.0, 75516.0, 
4036, -1, BR, 3.0, 76931.0, 76934.0, 
4036, -1, BR, 25.0, 76904.0, 76929.0, 
4036, -1, BR, 350.0, 76551.0, 76901.0, 
4036, -1, BR, 75.0, 76474.0, 76549.0, 
4036, 2, FT, 301.0, 76163.0, 76464.0, 
4077, -1, BR, 233.0, 77379.0, 77612.0, 
4077, -1, BR, 9.0, 77364.0, 77373.0, 
4102, -1, BR, 661.0, 78163.0, 78824.0, 
4102, -1, BR, 3.0, 78155.0, 78158.0, 
4102, -1, BR, 12.0, 78140.0, 78152.0, 
4106, 1, FR, 2.0, 78304.0, 78306.0, 
4129, 1, FR, 102.0, 78940.0, 79042.0, 
4189, -1, BR, 274.0, 80675.0, 80949.0, 
4189, -1, BR, 93.0, 80580.0, 80673.0, 
4189, -1, BR, 31.0, 80543.0, 80574.0, 
4239, -1, BR, 27.0, 81740.0, 81767.0, 
4239, -1, BR, 7.0, 81729.0, 81736.0, 
4239, -1, BR, 3.0, 81716.0, 81719.0, 
4239, -1, BR, 254.0, 81458.0, 81712.0, 
4246, -1, BR, 72.0, 81794.0, 81866.0, 
4255, 1, FR, 119.0, 81865.0, 81984.0, 
4278, 1, FR, 4.0, 82131.0, 82135.0, 
4331, 1, FR, 5.0, 82814.0, 82819.0, 
4331, 1, FR, 3.0, 82807.0, 82810.0, 
4372, -1, BR, 5.0, 83578.0, 83583.0, 
4387, -1, BR, 33.0, 84423.0, 84456.0, 
4387, -1, BR, 2.0, 84419.0, 84421.0, 
4387, -1, BR, 4.0, 84413.0, 84417.0, 
4387, -1, BR, 464.0, 83938.0, 84402.0, 
4387, -1, BR, 10.0, 83920.0, 83930.0, 
4387, -1, BR, 4.0, 83914.0, 83918.0, 
4387, -1, BR, 93.0, 83816.0, 83909.0, 
4400, 1, FR, 2.0, 84079.0, 84081.0, 
4405, 1, FR, 3.0, 84113.0, 84116.0, 
4431, 2, FT, 581.0, 84408.0, 84989.0, 
4456, -1, BR, 7.0, 84798.0, 84805.0, 
4456, -1, BR, 52.0, 84733.0, 84785.0, 
4507, -2, BT, 308.0, 85440.0, 85748.0, 
4507, -1, BR, 124.0, 85314.0, 85438.0, 
4507, -1, BR, 18.0, 85294.0, 85312.0, 
4531, -1, BR, 253.0, 85767.0, 86020.0, 
4531, -1, BR, 212.0, 85550.0, 85762.0, 
4543, 1, FR, 2.0, 85763.0, 85765.0, 
4633, 1, FR, 3.0, 87315.0, 87318.0, 
4633, 1, FR, 56.0, 87251.0, 87307.0, 
4665, 1, FR, 5.0, 87789.0, 87794.0, 
4738, -1, BR, 89.0, 89523.0, 89612.0, 
4738, -1, BR, 24.0, 89490.0, 89514.0, 
4845, 1, FR, 2.0, 91434.0, 91436.0, 
4868, 1, FR, 3.0, 91951.0, 91954.0, 
4880, 1, FR, 26.0, 92135.0, 92161.0, 
4881, 1, FR, 9.0, 92181.0, 92190.0, 
4881, 1, FR, 6.0, 92172.0, 92178.0, 
4894, 1, FR, 3.0, 92452.0, 92455.0, 
4939, 1, FR, 19.0, 93703.0, 93722.0, 
4941, 1, FR, 16.0, 93743.0, 93759.0, 
4944, 1, FR, 6.0, 93778.0, 93784.0, 
4970, -1, BR, 8.0, 94169.0, 94177.0, 
4978, 1, FR, 6.0, 94303.0, 94309.0, 
4982, 1, FR, 7.0, 94360.0, 94367.0, 
5032, -1, BR, 180.0, 96327.0, 96507.0, 
5032, -1, BR, 747.0, 95578.0, 96325.0, 
5032, -1, BR, 4.0, 95571.0, 95575.0, 
5032, -1, BR, 297.0, 95265.0, 95562.0, 
5065, 1, FR, 4.0, 95862.0, 95866.0, 
5080, -1, BR, 21.0, 96174.0, 96195.0, 
5080, -1, BR, 22.0, 96143.0, 96165.0, 
5080, -1, BR, 46.0, 96088.0, 96134.0, 
5080, -1, BR, 2.0, 96084.0, 96086.0, 
5093, 1, FR, 36.0, 96361.0, 96397.0, 
5102, -1, BR, 23.0, 96532.0, 96555.0, 
5103, -1, BR, 7.0, 96608.0, 96615.0, 
5130, -1, BR, 9.0, 97001.0, 97010.0, 
5130, -1, BR, 3.0, 96988.0, 96991.0, 
5142, 1, FR, 4.0, 97157.0, 97161.0, 
5176, 1, FR, 2.0, 97591.0, 97593.0, 
5176, 1, FR, 21.0, 97568.0, 97589.0, 
5181, -1, BR, 11.0, 97681.0, 97692.0, 
5212, -1, BR, 21.0, 97986.0, 98007.0, 
5265, 1, FR, 4.0, 99178.0, 99182.0, 
5305, 1, FR, 129.0, 99525.0, 99654.0, 
5308, -1, BR, 2.0, 99586.0, 99588.0, 
5309, -1, BR, 8.0, 99596.0, 99604.0, 
5347, -2, BT, 821.0, 99824.0, 100645.0, 
5350, 1, FR, 21.0, 99839.0, 99860.0, 
5383, -1, BR, 29.0, 100848.0, 100877.0, 
5383, -1, BR, 8.0, 100837.0, 100845.0, 
5383, -1, BR, 447.0, 100388.0, 100835.0, 
5383, -1, BR, 9.0, 100372.0, 100381.0, 
5383, -1, BR, 24.0, 100346.0, 100370.0, 
5391, 1, FR, 10.0, 100490.0, 100500.0, 
5420, -1, BR, 61.0, 101086.0, 101147.0, 
5420, -1, BR, 163.0, 100912.0, 101075.0, 
5432, -1, BR, 5.0, 101237.0, 101242.0, 
5432, -1, BR, 42.0, 101192.0, 101234.0, 
5432, -1, BR, 20.0, 101168.0, 101188.0, 
5454, -1, BR, 63.0, 101821.0, 101884.0, 
5454, -1, BR, 45.0, 101774.0, 101819.0, 
5485, -1, BR, 20.0, 102159.0, 102179.0, 
5508, -1, BR, 111.0, 102390.0, 102501.0, 
5525, -1, BR, 12.0, 102547.0, 102559.0, 
5532, -1, BR, 2.0, 103307.0, 103309.0, 
5532, -1, BR, 83.0, 103222.0, 103305.0, 
5532, -1, BR, 7.0, 103211.0, 103218.0, 
5532, -1, BR, 377.0, 102832.0, 103209.0, 
5532, -1, BR, 10.0, 102819.0, 102829.0, 
5532, -1, BR, 106.0, 102709.0, 102815.0, 
5532, -1, BR, 117.0, 102589.0, 102706.0, 
5558, 1, FR, 2.0, 103231.0, 103233.0, 
5558, 1, FR, 2.0, 103227.0, 103229.0, 
5558, 1, FR, 6.0, 103217.0, 103223.0, 
5558, 1, FR, 5.0, 103210.0, 103215.0, 
5563, 1, FR, 19.0, 103283.0, 103302.0, 
5584, -1, BR, 1921.0, 103591.0, 105512.0, 
5584, -1, BR, 22.0, 103567.0, 103589.0, 
5587, 1, FR, 43.0, 103589.0, 103632.0, 
5599, 1, FR, 490.0, 103878.0, 104368.0, 
