1000	10.707	46.452	57.5	0	0	0	0	0
1001	10.128	45.95	59.379	0	0	0	0	0
1002	9.632	45.619	61.784	0	0	0	0	0
1003	7.812	45.357	60.026	0	0	0	0	0
1004	1.128	42.925	57	0	0	0	0	0
1005	2.48	42.391	57.139	0	0	0	0	0
1006	3.154	41.795	57.268	0	0	0	0	0
1007	9.9	42.977	57.306	0	0	0.395	0	0
1008	10.462	44.578	60	0	0	0.706	0	0
1009	9.5	47.561	60.161	0	0	0.086	0	0
1010	11.029	50.222	60.667	0	0	0	0	0
1011	4.855	50.5	61.375	0	0	0	0	0
1012	7.5	51.714	62	0	0	0	0	0
1013	9.914	54.828	65.687	0	0	0	0	0
1014	16.56	54.893	66.743	0	0	8.2	0	0
1015	18.872	55	65	0	0	7.2	0	0
1016	18.756	53.652	61.652	0	0	7.5	0	0
1017	17.921	49	59.912	0	0	6.333	0	0
1018	15.875	46.793	58.294	0	0	4.433	0	0
1019	15.267	47.031	56.969	0	0	4.5	0	0
1020	17.103	45.576	56.5	0	0	4.75	0	0
1021	17.844	45.613	57.306	0	0	4	0	0
1022	17.838	45.619	60.687	0	0	5.333	0	0
1023	21.256	48.229	63.632	0	0	5.244	0	0
1024	22.914	46.882	65.619	0	0	5.216	0	0
1025	23.465	46.775	66	0	0	6.216	0	0
1026	23.634	44.263	63.674	0	0	3.897	0	0
1027	23.784	42.643	61.721	0	0	4.651	0	0
1028	23.216	38.293	65.643	0	0	4.381	0	0
1029	19.216	36.884	63.415	0	0	4.071	0	0
1030	20.909	35.914	61.595	0	0	5.5	0	0
1031	21.882	36.757	61.861	0	0	3.906	0	0
1032	19.914	38.902	60.194	0	0	2.952	0	0
1033	22.784	41	57.139	0	0	4.619	0	0
1034	22.216	41.419	58.41	0	0	4.216	0	0
1035	23.545	40.231	61.585	0	0	5.914	0	0
1036	23.81	39.216	61.825	0	0	7.5	0	0
1037	25.044	40.914	60.41	0	0	10.5	0	0
1038	25.925	40.161	59.974	0	0	13.139	0	0
1039	23.29	39.541	58.471	0	0	13.968	0	0
1040	23.541	38.385	56.558	0	0	13.1	0	0
1041	23.846	36.941	56.906	0	0	12.097	0	0
1042	22.324	35.919	56.895	0	0	12.407	0	0
1043	22.273	36.128	59.921	0	0	12.654	0	0
1044	25	38.919	63.135	0	0	14.829	0	0
1045	25.714	39.95	63.333	0	0	14.914	0	0
1046	24.5	39.05	62.784	0	0	13.7	0	0
1047	24.5	40.524	62.914	0	0	13.865	0	0
1048	26.424	41.579	63.909	0	0	14.541	0	0
1049	25.576	43.13	63.676	0	0	14	0	0
1050	24.679	43.929	66.19	0	0	13.633	0	0
1051	25.586	42.111	66.825	0	0	14.091	0	0
1052	25.424	42.158	65.024	0	0	14.5	0	0
1053	24.743	43	64.5	0	0	12.03	0	0
1054	21.5	43.311	62.889	0	0	10.242	0	0
1055	23.5	42.37	61.086	0	0	11.812	0	0
1056	25.154	44.816	62.025	0	0	13.226	0	0
1057	24.771	41.614	62.59	0	0	13.229	0	0
1058	22.6	37.578	62	0	0	10	0	0
1059	22.184	35.925	62.923	0	0	8.771	0	0
1060	24.576	35.788	61.595	0	0	10.086	0	0
1061	25.029	34.607	60.067	0	0	11.025	0	0
1062	24.414	36.5	57.73	0	0	12.139	0	0
1063	25.963	36.771	56.972	0	0	12.256	0	0
1064	25.6	34.824	55.324	0	0	12.975	0	0
1065	25.407	35	56	0	0	13	0	0
1066	24.381	33.687	53	0	0	13.581	0	0
1067	23.778	34.03	50.585	0	0	13.771	0	0
1068	23.25	35.5	52.381	0	0	14.414	0	0
1069	23.483	36.091	55.5	0	0	13.97	0	0
1070	25.367	36.194	56.132	0	0	13.139	0	0
1071	25	35.548	56.541	0	0	14.71	0	0
1072	25.783	36.394	55.05	0	0	16.5	0	0
1073	25.4	37.139	57.139	0	0	16	0	0
1074	24.708	35.774	60.257	0	0	15.586	0	0
1075	26.083	37.067	59	0	0	16.667	0	0
