Track_id, Transition_type_no, Transition_type_name, Time_in_channel_(frame), Time_entered_channel_(frame), Time_left_channel_(frame), 
2354, -1, BR, 4.0, 43150.0, 43154.0, 
2358, 1, FR, 10.0, 43208.0, 43218.0, 
2360, 1, FR, 17.0, 43260.0, 43277.0, 
2366, 1, FR, 26.0, 43394.0, 43420.0, 
2368, 1, FR, 12.0, 43459.0, 43471.0, 
2368, 1, FR, 2.0, 43455.0, 43457.0, 
2369, 1, FR, 4.0, 43487.0, 43491.0, 
2434, 1, FR, 47.0, 45090.0, 45137.0, 
2435, 1, FR, 2.0, 45346.0, 45348.0, 
2435, 1, FR, 137.0, 45207.0, 45344.0, 
2435, 1, FR, 3.0, 45201.0, 45204.0, 
2435, 1, FR, 34.0, 45165.0, 45199.0, 
2458, 1, FR, 2.0, 45736.0, 45738.0, 
2458, 1, FR, 3.0, 45728.0, 45731.0, 
2460, 1, FR, 6.0, 45762.0, 45768.0, 
2462, 1, FR, 2.0, 46112.0, 46114.0, 
2475, 1, FR, 18.0, 46226.0, 46244.0, 
2488, 1, FR, 2.0, 46341.0, 46343.0, 
2491, 1, FR, 7.0, 46356.0, 46363.0, 
2496, 1, FR, 8.0, 46643.0, 46651.0, 
2517, 1, FR, 8.0, 46928.0, 46936.0, 
2528, 1, FR, 2.0, 47070.0, 47072.0, 
2553, -1, BR, 3.0, 47410.0, 47413.0, 
2575, 1, FR, 233.0, 49301.0, 49534.0, 
2583, 1, FR, 7.0, 49458.0, 49465.0, 
2605, 1, FR, 7.0, 50329.0, 50336.0, 
2605, 1, FR, 4.0, 50317.0, 50321.0, 
2605, 1, FR, 4.0, 50306.0, 50310.0, 
2608, 1, FR, 2.0, 50378.0, 50380.0, 
2608, 1, FR, 4.0, 50362.0, 50366.0, 
2610, 1, FR, 6.0, 50411.0, 50417.0, 
2626, 1, FR, 3.0, 50613.0, 50616.0, 
2627, 1, FR, 12.0, 50627.0, 50639.0, 
2632, 1, FR, 307.0, 50699.0, 51006.0, 
2632, 1, FR, 4.0, 50685.0, 50689.0, 
2649, 1, FR, 2.0, 51037.0, 51039.0, 
2664, 1, FR, 8.0, 51285.0, 51293.0, 
2664, 1, FR, 12.0, 51271.0, 51283.0, 
2679, 1, FR, 7.0, 51656.0, 51663.0, 
2739, 1, FR, 6.0, 52443.0, 52449.0, 
2739, 1, FR, 49.0, 52392.0, 52441.0, 
2746, 1, FR, 3.0, 52480.0, 52483.0, 
2752, 1, FR, 8.0, 52582.0, 52590.0, 
2760, 1, FR, 2.0, 52714.0, 52716.0, 
2760, 1, FR, 2.0, 52710.0, 52712.0, 
2775, 1, FR, 8.0, 52895.0, 52903.0, 
2781, 1, FR, 14.0, 52945.0, 52959.0, 
2805, 1, FR, 9.0, 53178.0, 53187.0, 
2839, 1, FR, 2.0, 53594.0, 53596.0, 
2880, 1, FR, 15.0, 54495.0, 54510.0, 
2893, 1, FR, 3.0, 54801.0, 54804.0, 
2899, 1, FR, 14.0, 54879.0, 54893.0, 
2899, 1, FR, 3.0, 54867.0, 54870.0, 
2905, 1, FR, 4.0, 55473.0, 55477.0, 
2905, -2, BT, 483.0, 54988.0, 55471.0, 
2922, 1, FR, 2.0, 55260.0, 55262.0, 
2922, 1, FR, 7.0, 55251.0, 55258.0, 
2922, 1, FR, 8.0, 55241.0, 55249.0, 
2922, 1, FR, 7.0, 55231.0, 55238.0, 
2922, 1, FR, 2.0, 55220.0, 55222.0, 
2922, 1, FR, 18.0, 55177.0, 55195.0, 
2932, 1, FR, 2.0, 55398.0, 55400.0, 
2932, 1, FR, 15.0, 55379.0, 55394.0, 
2940, 1, FR, 10.0, 55522.0, 55532.0, 
2948, 1, FR, 2.0, 55850.0, 55852.0, 
2966, 1, FR, 14.0, 56135.0, 56149.0, 
2966, 1, FR, 46.0, 56084.0, 56130.0, 
3026, 1, FR, 18.0, 57905.0, 57923.0, 
3111, 1, FR, 4.0, 59373.0, 59377.0, 
3112, 1, FR, 3.0, 59398.0, 59401.0, 
3115, 1, FR, 3.0, 59445.0, 59448.0, 
3127, -2, BT, 688.0, 59838.0, 60526.0, 
3127, -1, BR, 32.0, 59799.0, 59831.0, 
3127, -1, BR, 2.0, 59790.0, 59792.0, 
3141, 1, FR, 3.0, 60122.0, 60125.0, 
3147, 1, FR, 6.0, 60244.0, 60250.0, 
3147, 1, FR, 4.0, 60236.0, 60240.0, 
3149, 1, FR, 5.0, 60289.0, 60294.0, 
3149, 1, FR, 2.0, 60282.0, 60284.0, 
3160, 1, FR, 6.0, 60759.0, 60765.0, 
3171, 1, FR, 7.0, 61147.0, 61154.0, 
3171, 1, FR, 56.0, 61087.0, 61143.0, 
3171, 1, FR, 6.0, 61063.0, 61069.0, 
3180, -2, BT, 172.0, 61300.0, 61472.0, 
3201, 1, FR, 53.0, 61581.0, 61634.0, 
3223, 1, FR, 10.0, 61994.0, 62004.0, 
3223, 1, FR, 12.0, 61973.0, 61985.0, 
3239, 1, FR, 42.0, 62400.0, 62442.0, 
3257, 1, FR, 30.0, 62550.0, 62580.0, 
3268, 1, FR, 2.0, 62636.0, 62638.0, 
3268, 1, FR, 2.0, 62623.0, 62625.0, 
3287, -1, BR, 150.0, 62952.0, 63102.0, 
3308, 1, FR, 3.0, 63278.0, 63281.0, 
3343, 1, FR, 3.0, 64072.0, 64075.0, 
3343, 1, FR, 4.0, 64050.0, 64054.0, 
3343, 1, FR, 11.0, 64017.0, 64028.0, 
3346, 1, FR, 16.0, 64177.0, 64193.0, 
3346, 1, FR, 10.0, 64161.0, 64171.0, 
3390, 1, FR, 2.0, 64932.0, 64934.0, 
3390, 1, FR, 12.0, 64917.0, 64929.0, 
3392, 1, FR, 14.0, 64978.0, 64992.0, 
3392, 1, FR, 14.0, 64962.0, 64976.0, 
3392, 1, FR, 2.0, 64947.0, 64949.0, 
3415, 1, FR, 3.0, 65085.0, 65088.0, 
3426, 1, FR, 2.0, 65215.0, 65217.0, 
3446, 1, FR, 10.0, 65480.0, 65490.0, 
3447, -1, BR, 2.0, 65470.0, 65472.0, 
3467, 1, FR, 7.0, 65919.0, 65926.0, 
3520, 1, FR, 800.0, 67044.0, 67844.0, 
3520, 1, FR, 2.0, 67022.0, 67024.0, 
3534, -1, BR, 9.0, 67377.0, 67386.0, 
3561, 1, FR, 4.0, 67875.0, 67879.0, 
3565, 1, FR, 6.0, 67957.0, 67963.0, 
3577, 1, FR, 2.0, 68152.0, 68154.0, 
3578, 1, FR, 2.0, 68194.0, 68196.0, 
3578, 1, FR, 3.0, 68173.0, 68176.0, 
3598, 1, FR, 2.0, 68611.0, 68613.0, 
3604, 1, FR, 12.0, 68666.0, 68678.0, 
3604, 1, FR, 2.0, 68662.0, 68664.0, 
3610, 1, FR, 2.0, 68826.0, 68828.0, 
3620, -1, BR, 106.0, 69855.0, 69961.0, 
3620, 2, FT, 931.0, 68918.0, 69849.0, 
3626, -1, BR, 85.0, 68979.0, 69064.0, 
3663, 1, FR, 37.0, 69898.0, 69935.0, 
3678, 1, FR, 24.0, 70104.0, 70128.0, 
3700, 1, FR, 2.0, 70888.0, 70890.0, 
3700, 1, FR, 17.0, 70867.0, 70884.0, 
3700, 1, FR, 11.0, 70853.0, 70864.0, 
3700, 1, FR, 6.0, 70841.0, 70847.0, 
3716, 1, FR, 9.0, 71012.0, 71021.0, 
3747, 1, FR, 8.0, 71608.0, 71616.0, 
3747, 1, FR, 2.0, 71604.0, 71606.0, 
3778, 1, FR, 15.0, 71925.0, 71940.0, 
3797, 1, FR, 11.0, 72371.0, 72382.0, 
